ID,PW,PH(V)/PW,PH/PW,SA,SA/PH(V)*PW,SFD,G_g,f2,f3,f4,f5,f7,f8,f9,f10,LD1,LD2,LD3,LD5,WC,IDNumber,Type
79,1224,1.08251634,1.183905444,323107.583,0.2,1.532,15.21023793,0.188,0.113,0.079,0.06,0.044,0.041,0.033,0.025,0.06,0.368,0.202,0.106,0.751922885,59,
80,1043,1.349952061,1.383033517,318239.25,0.22,1.535,15.55515599,0.142,0.089,0.063,0.05,0.046,0.049,0.059,0.065,0.057,0.282,0.17,0.132,0.753954523,60,
81,1077,1.308263695,1.433692731,330103.417,0.22,1.541,15.65134579,0.155,0.093,0.075,0.067,0.049,0.044,0.042,0.039,0.07,0.317,0.199,0.125,0.745372596,61,
83,1141,1.17791411,1.345181633,259465.917,0.17,1.506,15.24022255,0.171,0.122,0.096,0.078,0.047,0.034,0.026,0.021,0.064,0.346,0.251,0.092,0.759156252,62,
85,1137,1.011433597,1.238525212,156145.25,0.12,1.449,14.50656088,0.215,0.118,0.07,0.043,0.021,0.015,0.012,0.01,0.098,0.485,0.227,0.043,0.824165554,63,
86,1422,0.715189873,0.917005296,386656.25,0.27,1.573,15.36472836,0.164,0.121,0.098,0.081,0.051,0.035,0.027,0.026,0.049,0.314,0.251,0.097,0.829397904,64,
87,1083,1.167128347,1.200391271,297593.167,0.22,1.526,15.11547483,0.17,0.109,0.078,0.062,0.047,0.042,0.04,0.04,0.064,0.339,0.216,0.102,0.80790248,65,
88,1265,1.133596838,1.298839259,449129.417,0.25,1.578,15.44517178,0.175,0.117,0.085,0.066,0.043,0.037,0.034,0.032,0.053,0.372,0.225,0.091,0.830828176,66,
89,909,0.812981298,1.070238686,210320.25,0.31,1.495,14.61020125,0.141,0.087,0.064,0.051,0.039,0.037,0.033,0.038,0.08,0.295,0.178,0.082,0.777685701,67,
90,1218,1.140394089,1.203818276,399317.917,0.24,1.564,15.56927494,0.136,0.096,0.07,0.06,0.058,0.058,0.055,0.057,0.052,0.282,0.196,0.131,0.767177505,68,
92,1220,1.354098361,1.937170725,197754.917,0.1,1.468,15.34251583,0.189,0.126,0.096,0.064,0.024,0.015,0.014,0.012,0.082,0.438,0.261,0.052,0.724283084,69,
93,1221,1.040950041,1.151158594,343890.333,0.22,1.551,15.20690949,0.179,0.114,0.085,0.063,0.037,0.034,0.03,0.025,0.063,0.352,0.214,0.097,0.823257024,70,
94,1230,0.790243902,1.150243473,597440.917,0.5,1.635,15.48531045,0.143,0.125,0.094,0.081,0.061,0.054,0.048,0.05,0.033,0.226,0.21,0.143,0.836773899,71,
95,1230,1.095934959,1.184565716,549556.5,0.33,1.607,15.53358163,0.153,0.115,0.088,0.069,0.055,0.043,0.034,0.033,0.051,0.277,0.217,0.107,0.852870136,72,
96,1228,0.943811075,1.155339785,407062.5,0.29,1.581,15.34158878,0.163,0.108,0.082,0.073,0.053,0.045,0.039,0.036,0.056,0.29,0.221,0.119,0.830103129,73,
97,1184,0.709459459,1.063451562,358468.25,0.36,1.565,15.10854479,0.184,0.146,0.105,0.082,0.058,0.043,0.03,0.026,0.061,0.321,0.219,0.117,0.823884408,74,
99,1226,0.826264274,1.041009009,497793.5,0.4,1.609,15.3333046,0.121,0.096,0.083,0.076,0.066,0.061,0.059,0.058,0.04,0.252,0.205,0.109,0.809993447,75,
100,1231,1.13322502,1.214682702,359574.25,0.21,1.553,15.63097104,0.161,0.115,0.09,0.076,0.05,0.044,0.035,0.025,0.073,0.345,0.227,0.102,0.741358101,76,
101,1220,1.114754098,1.247261992,233386.083,0.14,1.49,14.83193599,0.176,0.106,0.08,0.068,0.045,0.031,0.021,0.012,0.063,0.421,0.23,0.074,0.823287779,77,
102,1232,0.959415584,1.056284909,464093.167,0.32,1.594,15.39072499,0.162,0.113,0.081,0.061,0.039,0.034,0.033,0.038,0.059,0.317,0.201,0.094,0.860650666,78,
103,1223,0.964022895,1.106127715,306176.583,0.21,1.533,15.11352105,0.175,0.113,0.078,0.058,0.041,0.037,0.035,0.031,0.064,0.35,0.216,0.102,0.852721783,79,
105,1134,1.186948854,1.226677928,363942.583,0.24,1.55,15.48882691,0.14,0.085,0.062,0.046,0.032,0.033,0.036,0.049,0.062,0.278,0.169,0.093,0.803439803,80,
106,1221,1.050778051,1.237596676,393883.083,0.25,1.571,15.24184527,0.154,0.107,0.08,0.064,0.044,0.04,0.039,0.037,0.053,0.295,0.201,0.103,0.810468017,81,
107,1227,0.74409128,0.99285212,432425.25,0.39,1.596,15.20211664,0.152,0.106,0.072,0.059,0.064,0.061,0.053,0.046,0.039,0.266,0.201,0.14,0.831585489,82,
108,1002,1.357285429,1.396175986,320330.417,0.24,1.536,15.58181211,0.146,0.088,0.068,0.056,0.048,0.047,0.051,0.06,0.065,0.295,0.177,0.129,0.774850577,83,
109,1155,1.345454545,1.477364676,337458.333,0.19,1.543,15.47237154,0.179,0.111,0.074,0.058,0.035,0.032,0.032,0.032,0.061,0.356,0.219,0.098,0.771607978,84,
110,1233,0.740470397,1.065057874,380784.25,0.34,1.576,15.21265474,0.152,0.101,0.077,0.064,0.053,0.048,0.039,0.037,0.054,0.295,0.212,0.108,0.856947135,85,
111,1190,0.973109244,1.040351655,290110.167,0.21,1.532,14.94071696,0.162,0.101,0.072,0.056,0.041,0.042,0.044,0.04,0.056,0.353,0.193,0.111,0.856393855,86,
112,745,1.451006711,1.475833614,192339.833,0.24,1.485,14.77863468,0.138,0.093,0.066,0.055,0.043,0.042,0.045,0.056,0.06,0.277,0.178,0.106,0.797757277,87,
114,1019,1.132482826,1.147612254,250204.917,0.21,1.517,14.9846015,0.16,0.106,0.07,0.048,0.036,0.034,0.034,0.035,0.066,0.314,0.198,0.079,0.806939254,88,
115,854,1.415690867,1.400236664,244068.333,0.24,1.509,14.84968079,0.158,0.1,0.068,0.049,0.031,0.028,0.027,0.03,0.076,0.298,0.196,0.069,0.837794036,89,
116,688,1.540697674,1.584681997,209389.167,0.29,1.496,14.74642691,0.133,0.091,0.064,0.056,0.044,0.051,0.06,0.063,0.055,0.27,0.169,0.138,0.776801962,90,
117,1193,0.962279966,1.03884135,294024.25,0.21,1.534,15.14749216,0.147,0.114,0.091,0.077,0.059,0.049,0.04,0.033,0.054,0.328,0.233,0.111,0.720722591,91,
119,660,1.471212121,1.765847126,133001,0.21,1.434,14.24782346,0.151,0.094,0.07,0.058,0.046,0.049,0.054,0.057,0.076,0.301,0.188,0.135,0.786843854,92,
120,989,1.073811931,1.143739445,152523.833,0.15,1.452,14.45350499,0.18,0.116,0.079,0.057,0.038,0.037,0.035,0.03,0.085,0.368,0.22,0.096,0.85216619,93,
121,1175,1.152340426,1.316362207,340271.5,0.21,1.542,15.58467141,0.182,0.114,0.085,0.07,0.043,0.036,0.029,0.022,0.062,0.373,0.246,0.085,0.733381818,94,
122,773,1.359637775,1.639123178,160915.917,0.2,1.456,14.8474567,0.127,0.092,0.068,0.057,0.053,0.053,0.058,0.063,0.053,0.289,0.17,0.134,0.719750779,95,
128,1063,1.52869238,1.615155494,312472.917,0.18,1.536,15.78054787,0.172,0.107,0.075,0.066,0.054,0.052,0.047,0.034,0.063,0.32,0.213,0.117,0.719319938,96,
129,915,0.730054645,0.844064766,183924.083,0.3,1.476,14.446194,0.15,0.093,0.067,0.051,0.042,0.037,0.038,0.042,0.068,0.277,0.172,0.097,0.723660445,97,
130,1228,1.018729642,1.093029402,340297.417,0.22,1.542,15.50971245,0.149,0.102,0.075,0.059,0.047,0.045,0.046,0.05,0.057,0.3,0.194,0.116,0.775541532,98,
131,1020,1.368627451,1.414219566,305239.083,0.21,1.528,15.6032685,0.163,0.102,0.075,0.057,0.045,0.049,0.048,0.046,0.066,0.306,0.191,0.125,0.814341434,99,
132,1101,1.363306085,1.392854661,385112.667,0.23,1.559,15.51031865,0.166,0.093,0.069,0.056,0.042,0.039,0.039,0.044,0.067,0.336,0.186,0.11,0.762101437,100,
134,1221,1.049140049,1.126307646,399851.833,0.26,1.564,15.36137459,0.161,0.099,0.07,0.052,0.037,0.035,0.035,0.04,0.064,0.315,0.197,0.092,0.811616428,101,
135,1217,0.99096138,1.074724169,369142.25,0.25,1.563,15.56726721,0.183,0.126,0.087,0.066,0.038,0.033,0.032,0.036,0.056,0.346,0.229,0.1,0.776196369,102,
136,1058,1.325141777,1.531762024,255155.083,0.17,1.503,15.47634517,0.173,0.113,0.083,0.07,0.049,0.035,0.021,0.013,0.072,0.372,0.235,0.088,0.753756394,103,
137,1065,1.454460094,1.54523022,336083.417,0.2,1.541,15.54456414,0.183,0.107,0.072,0.054,0.042,0.047,0.048,0.034,0.058,0.365,0.215,0.101,0.766757174,104,
138,983,1.109867752,1.231245152,169708.75,0.16,1.466,15.0350611,0.182,0.107,0.079,0.063,0.033,0.023,0.016,0.014,0.093,0.402,0.231,0.068,0.811371713,105,
139,1224,1.310457516,1.362824857,350043.333,0.18,1.551,15.23228506,0.164,0.114,0.086,0.07,0.051,0.05,0.044,0.037,0.058,0.314,0.224,0.131,0.841508758,106,
140,1228,0.946254072,1.016752899,420406.167,0.29,1.587,15.2904517,0.14,0.089,0.071,0.057,0.042,0.04,0.044,0.045,0.053,0.284,0.181,0.099,0.797464016,107,
141,1227,1.225753871,1.38207181,563782.5,0.31,1.61,15.59187698,0.16,0.113,0.079,0.063,0.045,0.039,0.036,0.043,0.056,0.299,0.202,0.096,0.843722489,108,
142,1201,0.786011657,1.205479603,498105.75,0.44,1.612,15.25984886,0.139,0.094,0.072,0.057,0.047,0.046,0.052,0.059,0.035,0.252,0.181,0.122,0.823678036,109,
143,982,1.488798371,1.522682695,315986.5,0.22,1.536,15.08514666,0.175,0.111,0.078,0.055,0.035,0.028,0.025,0.032,0.07,0.356,0.205,0.078,0.828957658,110,
144,1226,0.871125612,1.148615959,234322.667,0.18,1.507,14.8191914,0.213,0.123,0.081,0.052,0.029,0.024,0.018,0.015,0.064,0.431,0.248,0.065,0.847258573,111,
145,773,1.309184994,1.314854574,191535.167,0.24,1.485,14.5188721,0.173,0.116,0.082,0.059,0.034,0.03,0.033,0.037,0.064,0.303,0.208,0.08,0.839722406,112,
146,842,1.263657957,1.531436647,209250.25,0.23,1.496,14.88126001,0.137,0.089,0.072,0.058,0.04,0.047,0.052,0.052,0.065,0.295,0.185,0.121,0.744231851,113,
147,960,1.151041667,1.183786829,295430.083,0.28,1.543,14.97406794,0.153,0.096,0.071,0.055,0.041,0.039,0.039,0.045,0.055,0.276,0.187,0.094,0.789452167,114,
148,1224,0.964052288,1.01037517,352241.667,0.24,1.551,15.14853887,0.15,0.092,0.068,0.054,0.046,0.047,0.051,0.056,0.053,0.284,0.185,0.119,0.762554612,115,
149,945,1.354497354,1.351953763,148362,0.12,1.439,14.54148942,0.16,0.091,0.075,0.072,0.046,0.033,0.026,0.019,0.091,0.379,0.197,0.098,0.82988591,116,
150,809,1.400494438,1.520522747,204907.75,0.22,1.493,14.83670869,0.144,0.104,0.079,0.066,0.049,0.041,0.045,0.043,0.063,0.314,0.213,0.103,0.806848472,117,
152,905,1.190055249,1.302377586,227663.167,0.23,1.505,14.9106118,0.151,0.078,0.048,0.037,0.034,0.043,0.058,0.072,0.056,0.267,0.158,0.128,0.752941176,118,
