ID,PW,PH(V)/PW,SA,SA/PH(V)*PW,G_g,f2,f3,f4,f7,f9,f10,LD1,WC,IDNumber,Type
W172,1040,1.025961538,350507.083,0.32,15.07841219,0.143,0.107,0.083,0.039,0.036,0.041,0.06,0.822515176,284,B
W178,1141,0.957931639,371619.167,0.3,15.09031697,0.137,0.098,0.078,0.048,0.042,0.042,0.046,0.807597691,289,B
W191,945,1.053968254,260406.333,0.28,14.89085084,0.147,0.11,0.088,0.043,0.03,0.03,0.074,0.819214694,301,B
W192,981,1.039755352,293523,0.29,14.94694409,0.141,0.107,0.086,0.05,0.04,0.037,0.064,0.840168703,302,B
W193,1093,1.008234218,268929.583,0.22,15.18379133,0.144,0.088,0.066,0.045,0.04,0.039,0.068,0.783170279,303,B
W195,1230,1.047154472,411506.75,0.26,15.24837546,0.183,0.118,0.078,0.042,0.034,0.038,0.06,0.811086023,305,B
W199,959,1.335766423,356362.75,0.29,15.14732953,0.138,0.101,0.083,0.046,0.034,0.037,0.051,0.791253201,308,B
W201,1125,1.131555556,414657.667,0.29,15.18331896,0.151,0.1,0.069,0.04,0.04,0.05,0.052,0.801486577,310,B
W203,1106,1.349005425,382208.75,0.23,15.52580513,0.166,0.108,0.074,0.035,0.041,0.046,0.068,0.785989779,311,B
W204,1126,1.204262877,309439.667,0.2,15.48612745,0.156,0.112,0.089,0.047,0.048,0.044,0.056,0.754160063,312,B
W206,894,1.231543624,280234.167,0.28,14.8949759,0.161,0.113,0.083,0.046,0.044,0.039,0.057,0.797587856,314,B
W213,1011,1.189910979,309542.833,0.25,15.10215545,0.141,0.106,0.086,0.052,0.037,0.039,0.055,0.753241391,320,B
W214,1228,1.174267101,427221.333,0.24,15.50019607,0.164,0.118,0.086,0.044,0.035,0.039,0.051,0.81810903,321,B
W228,1138,1.096660808,340355.917,0.24,15.12881057,0.144,0.092,0.067,0.036,0.039,0.042,0.063,0.786951238,332,B
W231,1031,0.956353055,325508.833,0.32,14.95476955,0.132,0.094,0.069,0.044,0.042,0.051,0.058,0.810262908,334,B
W232,988,1.020242915,303775.417,0.31,14.85844102,0.135,0.092,0.078,0.044,0.042,0.046,0.052,0.819396698,335,B
W237,1051,1.169362512,377348.667,0.29,15.17281422,0.162,0.101,0.07,0.038,0.038,0.049,0.058,0.801551954,339,B
W257,1181,1.213378493,375093.583,0.22,15.32180302,0.162,0.115,0.084,0.043,0.048,0.039,0.048,0.785541335,353,B
W263,1250,0.936,429005.5,0.29,15.33889687,0.153,0.093,0.073,0.046,0.038,0.04,0.049,0.808911307,358,B
W266,1258,1.13990461,484705.083,0.27,15.4634495,0.163,0.106,0.079,0.038,0.034,0.039,0.054,0.804452106,361,B
W274,1139,0.827041264,327050.833,0.3,14.93652957,0.137,0.097,0.071,0.044,0.045,0.049,0.048,0.788016386,368,B
W276,1297,1.096376253,408217.333,0.22,15.51456103,0.171,0.113,0.079,0.044,0.039,0.037,0.06,0.806870056,370,B
W281,1223,0.91741619,459741,0.34,15.30096631,0.153,0.115,0.086,0.051,0.042,0.041,0.051,0.824111454,372,B
W282,1056,1.098484848,362691.083,0.3,15.34525924,0.15,0.102,0.074,0.04,0.036,0.039,0.064,0.808274142,373,B
W288,1222,1.230769231,266888.083,0.15,15.08966662,0.193,0.111,0.072,0.048,0.027,0.017,0.069,0.81559806,375,B
W294,1227,1.156479218,490734,0.28,15.54297608,0.15,0.103,0.082,0.046,0.044,0.048,0.052,0.761397059,379,B
W301,1021,0.966699314,336913.333,0.33,14.98692252,0.143,0.095,0.074,0.045,0.041,0.044,0.046,0.783722192,381,B
W302,1229,1.144833198,405308.417,0.23,15.37141416,0.15,0.106,0.075,0.045,0.039,0.042,0.057,0.810489751,382,B
W306,1189,1.13372582,330595.667,0.21,15.1583922,0.156,0.11,0.084,0.042,0.034,0.033,0.065,0.849267188,385,B
W308,1175,0.940425532,263942.167,0.2,14.90299278,0.16,0.106,0.08,0.037,0.034,0.032,0.067,0.836662417,386,B
W310,946,1.0602537,320686,0.34,14.96547847,0.15,0.102,0.08,0.047,0.042,0.048,0.045,0.808689599,387,B
W318,1228,1.162052117,485274.75,0.28,15.65923631,0.172,0.116,0.082,0.054,0.048,0.038,0.057,0.801733563,393,B
W320,1097,0.967183227,306709.5,0.26,14.98440948,0.153,0.111,0.099,0.05,0.04,0.039,0.053,0.843954076,394,B
W323,1227,1.154849226,352671.5,0.2,15.273933,0.168,0.108,0.076,0.044,0.032,0.031,0.058,0.816625122,396,B
W325,1101,1.019981835,282400.167,0.23,14.98702171,0.148,0.099,0.081,0.055,0.043,0.04,0.048,0.829963176,397,B
94,1230,0.790243902,597440.917,0.5,15.48531045,0.143,0.125,0.094,0.061,0.048,0.05,0.033,0.836773899,71,C
97,1184,0.709459459,358468.25,0.36,15.10854479,0.184,0.146,0.105,0.058,0.03,0.026,0.061,0.823884408,74,C
99,1226,0.826264274,497793.5,0.4,15.3333046,0.121,0.096,0.083,0.066,0.059,0.058,0.04,0.809993447,75,C
107,1227,0.74409128,432425.25,0.39,15.20211664,0.152,0.106,0.072,0.064,0.053,0.046,0.039,0.831585489,82,C
142,1201,0.786011657,498105.75,0.44,15.25984886,0.139,0.094,0.072,0.047,0.052,0.059,0.035,0.823678036,109,C
195,1223,0.699100572,386235.833,0.37,15.13930793,0.132,0.098,0.08,0.058,0.051,0.054,0.047,0.825271928,151,C
199,1225,0.930612245,518345.583,0.37,15.3528591,0.146,0.103,0.079,0.05,0.053,0.056,0.039,0.83945534,155,C
W074,1231,0.900893582,609413.75,0.45,15.52792453,0.134,0.105,0.09,0.061,0.05,0.048,0.044,0.810579449,205,C
W098,1228,0.999185668,545623.167,0.36,15.56339851,0.13,0.102,0.084,0.057,0.048,0.046,0.051,0.787384899,226,C
W099,1205,0.63153527,336857.667,0.37,15.12735071,0.194,0.136,0.101,0.048,0.031,0.025,0.046,0.836502153,227,C
W100,1248,1.049679487,692450.167,0.42,15.76363475,0.124,0.103,0.089,0.061,0.05,0.051,0.045,0.821968906,228,C
W105,1227,0.802770986,488704.75,0.4,15.42518526,0.164,0.125,0.093,0.06,0.049,0.04,0.038,0.838401567,232,C
W135,1218,0.902298851,548132.25,0.41,15.49057246,0.146,0.12,0.106,0.065,0.04,0.035,0.035,0.852173636,252,C
W144,1227,1.070904645,622848.75,0.39,15.54506722,0.149,0.114,0.09,0.056,0.053,0.056,0.04,0.794613772,258,C
W145,1252,0.765974441,492736.583,0.41,15.3913947,0.151,0.122,0.102,0.058,0.047,0.045,0.038,0.821132075,259,C
W246,1221,0.714987715,451063.583,0.42,15.31013845,0.14,0.126,0.112,0.063,0.041,0.032,0.036,0.826174679,348,C
W272,1227,0.742461288,474192.417,0.42,15.21409013,0.131,0.088,0.068,0.055,0.053,0.052,0.039,0.81157622,366,C
W292,1230,1.004065041,543205.167,0.36,15.52882015,0.133,0.1,0.076,0.055,0.054,0.057,0.054,0.837102072,377,C
