ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,WC,IDNumber,Type
60,924,988,1.069264069,1021.659631,1.105692241,194094.083,0.21,1.828,1.483,14.71871257,0.269,0.131,0.082,0.069,0.06,0.057,0.052,0.052,0.049,0.051,0.058,0.071,0.052,0.287,0.183,0.139,0.109,0.23,0.752125638,43,
61,1071,1135,1.059757236,1187.886544,1.109137762,396081.167,0.33,1.851,1.58,15.07749037,0.243,0.136,0.096,0.071,0.059,0.054,0.048,0.045,0.045,0.049,0.068,0.086,0.043,0.263,0.178,0.133,0.118,0.265,0.80007682,44,
62,1117,1177,1.053715309,1330.366755,1.191017685,431283.417,0.33,1.852,1.577,15.20220317,0.248,0.151,0.091,0.068,0.055,0.044,0.041,0.038,0.038,0.042,0.074,0.109,0.049,0.265,0.185,0.123,0.09,0.288,0.791737636,45,
64,892,962,1.078475336,1069.153034,1.198602056,240472.917,0.28,1.847,1.515,14.68218315,0.214,0.132,0.098,0.08,0.068,0.06,0.061,0.054,0.047,0.052,0.06,0.073,0.054,0.255,0.186,0.147,0.133,0.226,0.811125123,46,
65,980,943,0.962244898,1141.712401,1.165012654,271769.25,0.29,1.833,1.53,14.70582552,0.25,0.143,0.101,0.072,0.056,0.046,0.041,0.039,0.039,0.05,0.071,0.092,0.058,0.281,0.183,0.124,0.108,0.246,0.825768241,47,
67,824,1031,1.251213592,1103.453826,1.339142993,150763.5,0.18,1.764,1.449,14.64139678,0.328,0.162,0.098,0.066,0.056,0.044,0.041,0.04,0.045,0.043,0.035,0.041,0.076,0.329,0.204,0.144,0.106,0.142,0.749460043,48,
68,1106,1076,0.972875226,1205.036939,1.089545153,362195.167,0.3,1.85,1.573,15.10027375,0.224,0.14,0.094,0.076,0.063,0.05,0.04,0.036,0.035,0.04,0.07,0.131,0.058,0.255,0.175,0.123,0.098,0.289,0.808113403,49,
69,909,1109,1.220022002,1212.952507,1.334381195,252675.5,0.25,1.84,1.522,14.9950342,0.244,0.124,0.091,0.07,0.056,0.054,0.052,0.052,0.052,0.052,0.062,0.09,0.054,0.261,0.174,0.137,0.119,0.256,0.764926355,50,
70,847,1471,1.736717828,1433.269129,1.692171345,184390.833,0.15,1.768,1.459,14.67659301,0.332,0.162,0.09,0.068,0.059,0.062,0.055,0.051,0.04,0.032,0.024,0.024,0.075,0.34,0.2,0.16,0.111,0.114,0.839588795,51,
71,987,1091,1.105369807,1161.501319,1.176799716,296648.083,0.28,1.854,1.542,14.88720578,0.246,0.133,0.094,0.069,0.048,0.039,0.035,0.033,0.039,0.055,0.093,0.116,0.051,0.24,0.168,0.118,0.104,0.319,0.802133604,52,
72,1142,1546,1.353765324,1555.960422,1.362487235,310517.25,0.18,1.778,1.529,15.53653059,0.298,0.172,0.108,0.082,0.07,0.062,0.059,0.052,0.039,0.023,0.016,0.02,0.058,0.346,0.218,0.161,0.113,0.103,0.756226329,53,
73,1184,1428,1.206081081,1788.150396,1.510262159,285263.167,0.17,1.723,1.519,15.55591881,0.348,0.187,0.115,0.077,0.068,0.058,0.047,0.033,0.022,0.015,0.013,0.016,0.075,0.387,0.241,0.164,0.073,0.059,0.738862559,54,
74,1002,1442,1.439121756,1466.25066,1.463324012,305798.583,0.21,1.802,1.529,15.33711789,0.273,0.161,0.115,0.078,0.061,0.046,0.04,0.04,0.04,0.041,0.047,0.057,0.059,0.321,0.203,0.128,0.093,0.196,0.802993697,55,
76,1058,1339,1.265595463,1401.60686,1.324770189,359288.833,0.25,1.824,1.553,15.70984948,0.279,0.167,0.099,0.069,0.055,0.044,0.037,0.037,0.043,0.052,0.058,0.061,0.067,0.3,0.188,0.121,0.1,0.225,0.744854934,56,
77,909,1396,1.535753575,1462.292876,1.608683032,255018.667,0.2,1.771,1.507,15.41748205,0.302,0.156,0.1,0.072,0.062,0.058,0.059,0.056,0.046,0.038,0.025,0.024,0.067,0.317,0.212,0.167,0.122,0.114,0.763608413,57,
78,1144,1697,1.483391608,1718.229551,1.501948909,322647.667,0.17,1.742,1.533,15.54871805,0.375,0.185,0.1,0.057,0.046,0.048,0.05,0.048,0.037,0.022,0.014,0.017,0.076,0.368,0.208,0.155,0.107,0.086,0.746252622,58,
79,1224,1325,1.08251634,1449.100264,1.183905444,323107.583,0.2,1.771,1.532,15.21023793,0.329,0.188,0.113,0.079,0.06,0.051,0.044,0.041,0.033,0.025,0.017,0.021,0.06,0.368,0.202,0.153,0.106,0.113,0.751922885,59,
80,1043,1408,1.349952061,1442.503958,1.383033517,318239.25,0.22,1.828,1.535,15.55515599,0.281,0.142,0.089,0.063,0.05,0.046,0.046,0.049,0.059,0.065,0.062,0.048,0.057,0.282,0.17,0.122,0.132,0.236,0.753954523,60,
81,1077,1409,1.308263695,1544.087071,1.433692731,330103.417,0.22,1.785,1.541,15.65134579,0.312,0.155,0.093,0.075,0.067,0.06,0.049,0.044,0.042,0.039,0.031,0.033,0.07,0.317,0.199,0.152,0.125,0.137,0.745372596,61,
83,1141,1344,1.17791411,1534.852243,1.345181633,259465.917,0.17,1.729,1.506,15.24022255,0.322,0.171,0.122,0.096,0.078,0.059,0.047,0.034,0.026,0.021,0.014,0.01,0.064,0.346,0.251,0.184,0.092,0.064,0.759156252,62,
85,1137,1150,1.011433597,1408.203166,1.238525212,156145.25,0.12,1.702,1.449,14.50656088,0.441,0.215,0.118,0.07,0.043,0.031,0.021,0.015,0.012,0.01,0.009,0.013,0.098,0.485,0.227,0.099,0.043,0.048,0.824165554,63,
