ID,PW,PH(V),PH(V)/PW,PH,PH/PW,SA,SA/PH(V)*PW,IFD,SFD,G_g,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,LD1,LD2,LD3,LD4,LD5,LD6,Wf(g),Wd(g),WC,,Wf-Wd,Wd/Wf
50,763,776,1.017038008,820.467,1.075317169,129926.083,0.219437116,1.799,1.429,14.31195679,0.281,0.157,0.113,0.077,0.059,0.046,0.04,0.037,0.039,0.044,0.05,0.057,0.068,0.312,0.21,0.14,0.089,0.181,58.00999997,11.34,0.804516463,,53.71999999,0.181970458
51,666,638,0.957957958,762.48,1.144864865,62226.167,0.146446212,1.738,1.333,13.78298022,0.359,0.171,0.092,0.057,0.042,0.035,0.036,0.046,0.06,0.046,0.029,0.028,0.098,0.346,0.182,0.123,0.125,0.127,28.05,4.889999998,0.825668449,,53.31000003,0.187595245
52,508,785,1.545275591,816.918,1.608106299,69323.833,0.173839794,1.722,1.341,13.81014511,0.231,0.162,0.124,0.111,0.09,0.073,0.059,0.049,0.041,0.031,0.014,0.016,0.067,0.27,0.245,0.203,0.145,0.069,26.77000001,4.939999999,0.815465073,,34.35000001,0.195926966
53,856,742,0.86682243,798.576,0.932915888,98857.25,0.155643452,1.757,1.394,14.23238665,0.347,0.173,0.107,0.069,0.047,0.036,0.031,0.03,0.034,0.04,0.043,0.044,0.094,0.359,0.193,0.112,0.087,0.155,37.63000001,6.450000001,0.828594207,,46.06999999,0.19933959
54,393,517,1.315521628,537.663,1.368099237,43169.25,0.212466963,1.74,1.285,13.40422178,0.253,0.163,0.112,0.075,0.063,0.052,0.043,0.043,0.046,0.049,0.051,0.049,0.089,0.272,0.214,0.155,0.125,0.145,19.66000001,2.88,0.853509664,,26.22000001,0.195952162
55,1164,753,0.646907216,1149.822222,0.987819779,183062.917,0.208858628,1.756,1.476,14.71556967,0.311,0.178,0.117,0.078,0.059,0.048,0.045,0.042,0.041,0.039,0.03,0.013,0.081,0.354,0.211,0.14,0.119,0.094,79.02,14.82,0.812452544,,44.91,0.172623434
56,685,874,1.275912409,915.7481481,1.33685861,113638.417,0.189811784,1.77,1.412,14.21254461,0.277,0.136,0.109,0.087,0.068,0.06,0.051,0.049,0.053,0.049,0.033,0.029,0.08,0.299,0.212,0.162,0.119,0.128,54.11000002,9.050000003,0.832748106,,42.51999998,0.180574292
57,726,1081,1.488980716,1168.499,1.609502755,103642.083,0.132060768,1.673,1.399,14.34220284,0.423,0.165,0.1,0.08,0.067,0.048,0.036,0.027,0.019,0.012,0.007,0.016,0.093,0.435,0.224,0.137,0.068,0.042,45.29999998,8.219999999,0.818543046,,46.91999999,0.165866667
58,707,742,1.04950495,825.682,1.167867044,96421.75,0.183802617,1.764,1.388,14.19285233,0.315,0.156,0.089,0.062,0.049,0.051,0.053,0.055,0.057,0.048,0.032,0.033,0.08,0.294,0.199,0.15,0.14,0.138,37.74,7.220000001,0.808691044,,65.37999997,0.179879579
59,821,750,0.913520097,845.739,1.030132765,141599.667,0.229962918,1.763,1.439,14.33117525,0.334,0.169,0.102,0.073,0.06,0.048,0.037,0.036,0.037,0.038,0.037,0.03,0.067,0.35,0.21,0.129,0.093,0.15,58.38999998,12,0.794485357,,58.03999997,0.218211207
